ID,Exclusions,Sample,RCCondition,Composite,MKE_1,MKE_2,MKE_3,MKE_4,MKE_5,Madison_1,Madison_2,Madison_3,Madison_4,Madison_5,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100,Trial_101,Trial_102,Trial_103,Trial_104,Trial_105,Trial_106,Trial_107,Trial_108,Trial_109,Trial_110,Trial_111,Trial_112,Trial_113,Trial_114,Trial_115,Trial_116,Trial_117,Trial_118,Trial_119,Trial_120,Trial_121,Trial_122,Trial_123,Trial_124,Trial_125,Trial_126,Trial_127,Trial_128,Trial_129,Trial_130,Trial_131,Trial_132,Trial_133,Trial_134,Trial_135,Trial_136,Trial_137,Trial_138,Trial_139,Trial_140,Trial_141,Trial_142,Trial_143,Trial_144,Trial_145,Trial_146,Trial_147,Trial_148,Trial_149,Trial_150,Trial_151,Trial_152,Trial_153,Trial_154,Trial_155,Trial_156,Trial_157,Trial_158,Trial_159,Trial_160,Trial_161,Trial_162,Trial_163,Trial_164,Trial_165,Trial_166,Trial_167,Trial_168,Trial_169,Trial_170,Trial_171,Trial_172,Trial_173,Trial_174,Trial_175,Trial_176,Trial_177,Trial_178,Trial_179,Trial_180,Trial_181,Trial_182,Trial_183,Trial_184,Trial_185,Trial_186,Trial_187,Trial_188,Trial_189,Trial_190,Trial_191,Trial_192,Trial_193,Trial_194,Trial_195,Trial_196,Trial_197,Trial_198,Trial_199,Trial_200,Trial_201,Trial_202,Trial_203,Trial_204,Trial_205,Trial_206,Trial_207,Trial_208,Trial_209,Trial_210,Trial_211,Trial_212,Trial_213,Trial_214,Trial_215,Trial_216,Trial_217,Trial_218,Trial_219,Trial_220,Trial_221,Trial_222,Trial_223,Trial_224,Trial_225,Trial_226,Trial_227,Trial_228,Trial_229,Trial_230,Trial_231,Trial_232,Trial_233,Trial_234,Trial_235,Trial_236,Trial_237,Trial_238,Trial_239,Trial_240,Trial_241,Trial_242,Trial_243,Trial_244,Trial_245,Trial_246,Trial_247,Trial_248,Trial_249,Trial_250,Trial_251,Trial_252,Trial_253,Trial_254,Trial_255,Trial_256,Trial_257,Trial_258,Trial_259,Trial_260,Trial_261,Trial_262,Trial_263,Trial_264,Trial_265,Trial_266,Trial_267,Trial_268,Trial_269,Trial_270,Trial_271,Trial_272,Trial_273,Trial_274,Trial_275,Trial_276,Trial_277,Trial_278,Trial_279,Trial_280,Trial_281,Trial_282,Trial_283,Trial_284,Trial_285,Trial_286,Trial_287,Trial_288,Trial_289,Trial_290,Trial_291,Trial_292,Trial_293,Trial_294,Trial_295,Trial_296,Trial_297,Trial_298,Trial_299,Trial_300,MKE_Black,MKE_Atheist,MKE_Union,MKE_LGB,MKE_250K,MKE_Evangelical,MKE_65Plus,MKE_Southern,MKE_Latino,MKE_Mormon,MKE_Democrats,MKE_Republicans,Madison_Black,Madison_Atheist,Madison_Union,Madison_LGB,Madison_250K,Madison_Evangelical,Madison_65Plus,Madison_Southern,Madison_Latino,Madison_Mormon,Madison_Democrats,Madison_Republicans,Rural_FT,Urban_FT,Madison_FT,Milwaukee_FT,LookDown_City,LessThanDeserve,LookDown_Elsewhere,Rural_Con,Gender,Gender_Text,Age,Race,Race_Text,Rep_Dem_Ind,LibCon,Edu,Income,Strong_NotStrong_Rep,Strong_NotStrong_Dem,Rep_Dem_Neither_Leaner,Dem_To_Rep
R_eMdtruKylOoOblW,No,Rural,MKE,Rural_MKE,Friendly,Beer drinkers,Down to earth,,,City people,,,,,-1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,15,5,80,5,10,40,30,10,5,3,30,70,12,8,45,15,5,15,45,10,12,5,55,55,100,26,39,82,4,1,2,2.333333333,Male,,60,1,,1,10,3,7,3,,,3
R_6paiY90zwsHXjzV,No,Rural,MKE,Rural_MKE,City people,Do not care about rural towns,Mostly democrats,A good amount of welfare,Brewers fans,City,Democrat,Only concerned for their area,Do not care about rural towns,Badger fans,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,50,20,50,30,30,25,30,20,20,5,70,20,30,20,35,30,35,25,30,15,25,20,75,25,100,,33,26,3,4,3,3.333333333,Female,,60,1,,1,10,4,6,3,,,3
R_e0Xyc8RvyjKSDIF,No,Rural,MKE,Rural_MKE,Black,Poor,Laborer,Balding,Overweight,Urban,White,Affluent,Political,Active,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,70,30,40,20,15,20,20,70,20,5,80,10,20,50,40,25,25,80,20,15,10,10,80,30,90,,74,25,2,3,4,3,Male,,57,1,,1,7,5,7,2,,,2
R_9H93hNklmvcdEWZ,No,Rural,MKE,Rural_MKE,Blue collar,Hard working,Family,Religious,Political,Liberal,Honest,Hard working,Out of touch,Family,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,50,30,60,30,15,80,50,10,30,10,70,50,30,30,50,40,10,40,60,20,20,10,70,40,99,82,82,82,4,4,4,4,Male,,57,1,,1,7,3,5,3,,,3
R_cZ1HFFin094O1Ap,No,Rural,MKE,Rural_MKE,City people,Friendly,Busy,Brewer fans,Sometimes scary,Forward,Independent,Super fun,Badger fans,Comfortable in their own skin,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1,35,20,45,10,20,20,60,10,20,20,40,60,15,30,60,35,30,20,45,10,10,20,75,25,100,100,100,100,2,4,2,2.666666667,Female,,57,1,,1,7,5,5,3,,,3
R_a8Z4hWPouw475fO,No,Rural,MKE,Rural_MKE,Busy,Wealthy,Brewers fans,Miller lite drinkers,Workers,Partiers,College kids,Capital,Busy,Lots of people,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,1,1,70,2,60,15,15,5,3,25,15,0,45,50,60,2,15,60,68,2,35,3,40,2,60,40,100,100,100,100,4,4,4,4,Female,,34,1,,1,8,4,3,3,,,3
R_nPJqsIyFQL513S5,No,Rural,MKE,Rural_MKE,Black,Criminals,Drunk,Brewers,Drunk,Liberal,Homosexual,Drunk,Sexually-confused,Socialist,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,65,35,45,25,25,10,35,10,25,5,65,25,10,65,20,65,35,5,35,5,10,2,85,15,99,29,27,28,4,5,4,4.333333333,Male,,38,1,,1,8,5,4,3,,,3
R_bcm1H06UEcNnIi8,No,Rural,MKE,Rural_MKE,Direct,Aggresive,Loud,Rowdy,Masculine,Loud,Privledged,Fast moving,Big headed ,Progressive,-1,-1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,70,23,70,25,20,26,50,30,35,20,30,70,45,25,15,40,50,40,30,30,20,10,75,25,100,50,14,42,4,1,4,3,Male,,19,1,,1,10,2,4,3,,,3
R_1KrWqw9uAGCypTG,No,Rural,MKE,Rural_MKE,Direct,Aggressive,Masculine ,Likes to party/heavy drinkers,Hard Working,Arrogant,Liberal,Progressive,Loud,Pushy,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,50,25,40,45,7,25,15,10,35,12,55,45,35,30,35,45,12,25,15,20,45,15,60,40,94,17,53,47,3,4,3,3.333333333,Female,,19,1,,3,6,2,5,,,0,0
R_RJ1x6d57q4kXg53,RC Data Unusable,Rural,MKE,Rural_MKE,Arts loving,More concerned about crime,Enjoy festivals ,Love the brewers,Professional ,Students,Government,Politically active,Free spirit,Fit,-1,1,1,NA,1,-1,NA,-1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,NA,-1,NA,1,1,1,NA,NA,NA,-1,NA,NA,-1,-1,-1,-1,-1,NA,NA,1,1,NA,1,NA,1,-1,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,1,NA,1,-1,NA,NA,NA,-1,NA,-1,-1,-1,1,1,NA,1,1,-1,-1,1,-1,NA,-1,NA,1,1,-1,1,NA,-1,-1,NA,1,NA,NA,1,1,1,-1,NA,NA,NA,-1,1,1,1,NA,NA,1,NA,-1,NA,1,-1,-1,NA,NA,NA,1,-1,-1,1,1,1,NA,-1,NA,-1,1,-1,-1,1,-1,-1,-1,-1,1,NA,NA,1,1,-1,-1,NA,1,-1,1,-1,1,1,NA,-1,-1,NA,1,-1,NA,1,-1,-1,NA,1,NA,-1,NA,1,1,NA,NA,NA,-1,NA,NA,NA,NA,1,NA,1,1,NA,1,-1,-1,-1,1,-1,1,NA,1,NA,NA,NA,1,-1,-1,1,-1,-1,1,-1,NA,-1,1,NA,-1,NA,-1,1,NA,NA,1,1,-1,1,-1,1,NA,-1,1,-1,1,NA,-1,NA,NA,1,1,-1,-1,1,-1,1,1,NA,1,-1,NA,1,1,-1,-1,NA,NA,NA,1,1,1,1,-1,NA,-1,NA,1,-1,NA,-1,-1,1,-1,1,NA,1,1,-1,1,-1,NA,NA,NA,1,NA,NA,1,NA,-1,NA,1,-1,1,1,-1,NA,1,-1,1,NA,-1,-1,1,-1,-1,-1,NA,1,-1,1,1,-1,1,NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
